"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2021","4,516.75","4,584.75","4,650.75","4,499.25","5.33K","-1.08%"
"Nov 30, 2021","4,566.25","4,657.25","4,667.50","4,557.00","19.20K","-1.82%"
"Nov 29, 2021","4,651.00","4,589.00","4,669.75","4,588.75","2.01M","1.20%"
"Nov 26, 2021","4,595.75","4,700.50","4,717.00","4,577.25","2.07M","-1.96%"
"Nov 25, 2021","4,687.75","4,699.00","4,699.50","4,686.00","122.44K","-0.24%"
"Nov 24, 2021","4,699.00","4,686.25","4,702.25","4,656.25","1.41M","0.22%"
"Nov 23, 2021","4,688.50","4,686.00","4,695.50","4,649.00","1.87M","0.19%"
"Nov 22, 2021","4,679.75","4,701.00","4,740.50","4,674.25","1.69M","-0.31%"
"Nov 19, 2021","4,694.50","4,705.25","4,723.50","4,684.25","1.34M","-0.15%"
"Nov 18, 2021","4,701.50","4,685.25","4,706.50","4,668.00","1.17M","0.33%"
"Nov 17, 2021","4,686.25","4,696.50","4,701.00","4,679.25","1.06M","-0.21%"
"Nov 16, 2021","4,696.00","4,680.75","4,709.75","4,670.75","1.04M","0.36%"
"Nov 15, 2021","4,679.00","4,684.75","4,697.50","4,667.00","1.05M","0.02%"
"Nov 12, 2021","4,678.25","4,647.00","4,685.50","4,643.75","1.16M","0.76%"
"Nov 11, 2021","4,643.00","4,645.00","4,661.50","4,638.00","936.86K","0.02%"
"Nov 10, 2021","4,642.00","4,674.75","4,680.25","4,625.25","1.64M","-0.77%"
"Nov 09, 2021","4,678.25","4,690.75","4,700.50","4,663.25","1.29M","-0.34%"
"Nov 08, 2021","4,694.00","4,678.50","4,707.00","4,676.25","1.00M","0.08%"
"Nov 05, 2021","4,690.25","4,671.75","4,711.75","4,667.50","1.46M","0.36%"
"Nov 04, 2021","4,673.25","4,651.50","4,676.25","4,650.75","1.17M","0.45%"
"Nov 03, 2021","4,652.25","4,621.25","4,657.00","4,613.00","1.07M","0.62%"
"Nov 02, 2021","4,623.50","4,605.75","4,627.00","4,593.25","980.83K","0.39%"
"Nov 01, 2021","4,605.75","4,608.00","4,619.50","4,586.50","1.07M","0.19%"
"Oct 29, 2021","4,597.00","4,577.00","4,603.50","4,559.25","1.42M","0.21%"
"Oct 28, 2021","4,587.50","4,548.75","4,589.75","4,545.25","1.20M","0.95%"
"Oct 27, 2021","4,544.50","4,563.75","4,576.75","4,543.75","1.26M","-0.45%"
"Oct 26, 2021","4,565.25","4,564.75","4,590.00","4,560.75","1.26M","0.16%"
"Oct 25, 2021","4,558.00","4,528.75","4,566.25","4,522.50","1.03M","0.47%"
"Oct 22, 2021","4,536.50","4,530.00","4,551.50","4,515.25","1.32M","-0.12%"
"Oct 21, 2021","4,541.75","4,525.00","4,543.25","4,510.25","938.57K","0.30%"
"Oct 20, 2021","4,528.00","4,516.00","4,532.25","4,504.00","1.01M","0.37%"
"Oct 19, 2021","4,511.25","4,475.75","4,517.50","4,471.75","1.02M","0.75%"
"Oct 18, 2021","4,477.50","4,465.50","4,479.75","4,436.25","1.10M","0.34%"
"Oct 15, 2021","4,462.50","4,433.00","4,467.50","4,426.25","1.19M","0.76%"
"Oct 14, 2021","4,429.00","4,354.75","4,437.25","4,354.00","1.26M","1.70%"
"Oct 13, 2021","4,355.00","4,327.50","4,364.75","4,318.75","1.37M","0.33%"
"Oct 12, 2021","4,340.75","4,347.75","4,365.00","4,317.25","1.30M","-0.24%"
"Oct 11, 2021","4,351.00","4,381.00","4,407.50","4,344.00","1.25M","-0.71%"
"Oct 08, 2021","4,382.25","4,390.50","4,407.75","4,376.25","1.43M","-0.18%"
"Oct 07, 2021","4,390.00","4,355.25","4,421.50","4,355.00","1.41M","0.83%"
"Oct 06, 2021","4,354.00","4,334.00","4,357.50","4,273.75","2.20M","0.46%"
"Oct 05, 2021","4,334.00","4,295.75","4,359.75","4,269.00","1.65M","1.00%"
"Oct 04, 2021","4,291.25","4,349.00","4,362.00","4,267.50","2.14M","-1.21%"
"Oct 01, 2021","4,343.75","4,301.00","4,365.75","4,260.00","2.27M","1.07%"
"Sep 30, 2021","4,297.75","4,360.00","4,389.00","4,294.25","2.37M","-1.20%"
"Sep 29, 2021","4,349.75","4,347.50","4,378.75","4,344.25","1.82M","0.14%"
"Sep 28, 2021","4,343.50","4,429.75","4,442.00","4,334.75","2.31M","-2.02%"
"Sep 27, 2021","4,433.00","4,446.00","4,472.00","4,425.00","1.31M","-0.29%"
"Sep 24, 2021","4,445.75","4,439.00","4,453.00","4,410.75","1.18M","0.17%"
"Sep 23, 2021","4,438.00","4,386.00","4,455.00","4,385.75","1.45M","1.23%"
"Sep 22, 2021","4,384.00","4,336.50","4,406.50","4,321.25","1.77M","0.94%"
"Sep 21, 2021","4,343.25","4,342.50","4,395.75","4,329.25","1.94M","-0.11%"
"Sep 20, 2021","4,348.25","4,411.75","4,418.00","4,293.75","2.71M","-2.60%"
"Sep 17, 2021","4,464.33","4,471.00","4,482.50","4,459.00","24.14K","-0.22%"
"Sep 16, 2021","4,474.25","4,486.00","4,487.50","4,443.00","268.03K","-0.17%"
"Sep 15, 2021","4,481.75","4,446.75","4,487.50","4,437.50","518.99K","0.84%"
"Sep 14, 2021","4,444.50","4,475.50","4,489.50","4,435.00","893.79K","-0.55%"
"Sep 13, 2021","4,469.00","4,461.00","4,492.75","4,444.75","1.53M","0.18%"
"Sep 11, 2021","4,461.00","4,461.00","4,461.00","4,461.00","-","0.06%"
"Sep 10, 2021","4,458.25","4,491.25","4,518.25","4,456.50","1.72M","-0.76%"
"Sep 09, 2021","4,492.25","4,511.00","4,529.50","4,485.50","1.70M","-0.45%"
"Sep 08, 2021","4,512.50","4,517.50","4,524.75","4,492.00","1.61M","-0.15%"
"Sep 07, 2021","4,519.25","4,533.00","4,548.00","4,510.75","1.28M","-0.46%"
"Sep 06, 2021","4,540.00","4,528.75","4,548.00","4,523.75","125.07K","0.25%"
"Sep 05, 2021","4,528.75","4,533.75","4,534.75","4,528.50","6.03K","-0.11%"
"Sep 04, 2021","4,533.75","4,533.75","4,533.75","4,533.75","-","-0.02%"
"Sep 03, 2021","4,534.50","4,536.75","4,549.50","4,519.25","1.16M","-0.02%"
"Sep 02, 2021","4,535.25","4,522.50","4,544.00","4,516.00","1.02M","0.31%"
"Sep 01, 2021","4,521.25","4,527.75","4,540.00","4,519.25","1.06M","0.02%"
"Aug 31, 2021","4,520.50","4,529.50","4,542.25","4,512.50","1.38M","-0.10%"
"Aug 30, 2021","4,525.25","4,508.75","4,534.50","4,500.75","975.81K","0.39%"
"Aug 28, 2021","4,507.50","4,507.50","4,507.50","4,507.50","-","0.04%"
"Aug 27, 2021","4,505.50","4,470.00","4,510.00","4,462.25","1.22M","0.87%"
"Aug 26, 2021","4,466.50","4,493.75","4,494.25","4,465.00","1.31M","-0.59%"
"Aug 25, 2021","4,493.00","4,483.50","4,498.00","4,476.25","801.11K","0.23%"
"Aug 24, 2021","4,482.50","4,481.00","4,492.00","4,476.75","787.50K","0.16%"
"Aug 23, 2021","4,475.50","4,435.00","4,485.75","4,433.50","997.03K","0.86%"
"Aug 21, 2021","4,437.50","4,437.50","4,437.50","4,437.50","-","0.01%"
"Aug 20, 2021","4,437.00","4,403.75","4,440.50","4,371.75","1.33M","0.81%"
"Aug 19, 2021","4,401.50","4,389.75","4,414.75","4,347.75","1.92M","0.16%"
"Aug 18, 2021","4,394.50","4,436.75","4,449.75","4,381.50","1.55M","-1.10%"
"Aug 17, 2021","4,443.50","4,472.00","4,472.25","4,411.75","1.79M","-0.68%"
"Aug 16, 2021","4,474.00","4,456.25","4,476.50","4,432.50","1.24M","0.32%"
"Aug 14, 2021","4,459.75","4,459.75","4,459.75","4,459.75","-","-0.06%"
"Aug 13, 2021","4,462.50","4,455.75","4,463.25","4,451.00","789.10K","0.18%"
"Aug 12, 2021","4,454.50","4,440.00","4,456.25","4,430.25","850.53K","0.32%"
"Aug 11, 2021","4,440.50","4,429.25","4,443.25","4,420.75","1.00M","0.24%"
"Aug 10, 2021","4,430.00","4,427.25","4,438.25","4,416.50","950.32K","0.10%"
"Aug 09, 2021","4,425.75","4,428.00","4,432.00","4,412.25","789.73K","-0.08%"
"Aug 06, 2021","4,429.50","4,420.25","4,433.25","4,416.00","951.05K","0.18%"
"Aug 05, 2021","4,421.50","4,396.25","4,422.75","4,393.75","763.34K","0.61%"
"Aug 04, 2021","4,394.75","4,409.75","4,415.00","4,391.25","1.05M","-0.46%"
"Aug 03, 2021","4,415.00","4,383.75","4,417.00","4,365.25","1.30M","0.80%"
"Aug 02, 2021","4,379.75","4,396.50","4,419.75","4,377.25","1.19M","-0.35%"
"Jul 31, 2021","4,395.25","4,395.25","4,395.25","4,395.25","-","0.13%"
"Jul 30, 2021","4,389.50","4,394.25","4,405.00","4,370.75","1.38M","-0.50%"
"Jul 29, 2021","4,411.75","4,393.75","4,422.50","4,380.50","1.01M","0.41%"
"Jul 28, 2021","4,393.75","4,380.00","4,407.75","4,377.50","1.22M","-0.02%"
"Jul 27, 2021","4,394.50","4,415.75","4,416.00","4,364.75","1.58M","-0.45%"
"Jul 26, 2021","4,414.25","4,400.50","4,416.75","4,375.50","938.63K","0.26%"
"Jul 23, 2021","4,403.00","4,371.50","4,408.25","4,367.25","1.17M","1.00%"
"Jul 22, 2021","4,359.50","4,355.00","4,371.50","4,341.50","981.97K","0.21%"
"Jul 21, 2021","4,350.50","4,318.75","4,355.25","4,310.00","1.19M","0.81%"
